PROJECTID,cohort_col,TESTNAME,n,omnibus_pval,omnibus_qval_fdr_bh,gba_included,log_transform,pd_only
151,HEURISTIC,CTLA4_3022-4_2,516.0,0.028509192853135794,0.31532326101029373,False,False,True
151,HEURISTIC,TSLP_3010-53_2,516.0,0.301696675960716,0.7466856902781723,False,False,True
151,HEURISTIC,TGFBR3_3009-3_2,516.0,0.25257424273910006,0.7004086349602496,False,False,True
151,HEURISTIC,SIGLEC9_3007-7_2,516.0,0.9150607336718397,0.9795558306486055,False,False,True
151,HEURISTIC,PTPN1_3005-5_2,516.0,0.040544792602209424,0.37043344763324165,False,False,True
151,HEURISTIC,PDCD1LG2_3004-67_2,516.0,0.6915779141912929,0.9190953900399781,False,False,True
151,HEURISTIC,NCR3_3003-29_2,516.0,0.18186717944688927,0.6409277383824042,False,False,True
151,HEURISTIC,MBL2_3000-66_1,516.0,0.8761304309254343,0.9689627347084057,False,False,True
151,HEURISTIC,LSAMP_2999-6_2,516.0,0.6310221112519275,0.8953370333234897,False,False,True
151,HEURISTIC,JAM3_2998-53_2,516.0,0.36845946278815855,0.7802983073278442,False,False,True
151,HEURISTIC,JAM2_2997-8_1,516.0,0.2523014120912974,0.7004086349602496,False,False,True
151,HEURISTIC,IL1RL2_2994-71_2,516.0,0.4109146986655263,0.7937148015534466,False,False,True
151,HEURISTIC,IL18RAP_2993-1_2,516.0,0.01835814861823303,0.2542057519714534,False,False,True
151,HEURISTIC,IL17RA_2992-59_2,516.0,0.7920385428258293,0.9484497490705297,False,False,True
151,HEURISTIC,IL1R1_2991-9_2,516.0,0.4126176437514686,0.7939024752623414,False,False,True
151,HEURISTIC,IFNG_2989-17_2,516.0,0.36320652466128606,0.7800733379382179,False,False,True
151,HEURISTIC,ICOS_2988-57_2,516.0,0.2505296689991509,0.7004086349602496,False,False,True
151,HEURISTIC,HIST1H1C_2987-37_3,516.0,0.35926093578645113,0.777520587767994,False,False,True
151,HEURISTIC,CXCL2_2986-49_2,516.0,0.8811017840411575,0.9697873272670969,False,False,True
151,HEURISTIC,CXCL3_2986-49_2,516.0,0.8811017840411575,0.9697873272670969,False,False,True
151,HEURISTIC,CXCL1_2985-35_1,516.0,0.6876718442886797,0.9188078601477848,False,False,True
151,HEURISTIC,LGALS4_2982-82_2,516.0,0.3233722911329412,0.7591948890767611,False,False,True
151,HEURISTIC,ESAM_2981-9_3,516.0,0.38378614837349223,0.7848846343881314,False,False,True
151,HEURISTIC,CXCL5_2979-8_2,516.0,0.3878370483462437,0.7848846343881314,False,False,True
151,HEURISTIC,EDAR_2977-7_2,516.0,0.06257058898184246,0.4242135048387908,False,False,True
151,HEURISTIC,DSG1_2976-58_2,516.0,0.8332692817191008,0.9586012879817252,False,False,True
151,HEURISTIC,CTGF_2975-19_2,516.0,0.8884951185052649,0.9708068475799655,False,False,True
151,HEURISTIC,CNTN1_2974-61_2,516.0,0.7836470599810691,0.9469350948488828,False,False,True
151,HEURISTIC,CD36_2973-15_2,516.0,0.00821839101092077,0.17390257688909402,False,False,True
151,HEURISTIC,BMP7_2972-57_2,516.0,0.3139862826705868,0.7541842504637978,False,False,True
151,HEURISTIC,AREG_2970-60_2,516.0,0.15997899005623284,0.6061839561200513,False,False,True
151,HEURISTIC,ACVRL1_2969-11_1,516.0,0.5784128298228041,0.8718106420517626,False,False,True
151,HEURISTIC,TNFSF15_2968-61_1,516.0,0.43860587482171726,0.8109911818998006,False,False,True
151,HEURISTIC,VCAM1_2967-8_1,516.0,0.6009075170662241,0.880388829836457,False,False,True
151,HEURISTIC,CLEC11A_2966-65_2,516.0,0.09109923718739192,0.49375636289822095,False,False,True
151,HEURISTIC,PTHLH_2962-50_2,516.0,0.03096419622231715,0.3304650461456031,False,False,True
151,HEURISTIC,PROC_2961-1_2,516.0,0.38892303328024364,0.7848846343881314,False,False,True
151,HEURISTIC,CFP_2960-66_2,516.0,0.83299708610899,0.9586012879817252,False,False,True
151,HEURISTIC,IL4_2906-55_3,516.0,0.05220414938717486,0.3950060096045057,False,False,True
151,HEURISTIC,CCL14_2900-53_3,516.0,0.1282188824555207,0.5586419738174321,False,False,True
