PROJECTID,TESTNAME,comparison,n,beta,pval,effect_size_std,mean_diff_raw,beta_ci_low,beta_ci_high,effect_size_std_ci_low,effect_size_std_ci_high,qval_fdr_bh,gba_included,log_transform,pd_only
151,DDR1_14704-10_3,Non vs Predicted,375.0,0.05498609236663129,0.6416110257876608,0.05498609236663129,-0.005185488531074256,,,,,0.9278682526775404,False,False,True
151,DDR1_14704-10_3,Non vs RV,423.0,0.07408669346207196,0.47181621223876713,0.07408669346207196,-0.0029998321118238636,,,,,0.876453508089817,False,False,True
151,DDR1_14704-10_3,Predicted vs RV,234.0,0.01910060109544067,0.8840790686641039,0.01910060109544067,0.0021856564192503924,,,,,0.9768770599721512,False,False,True
151,PROK1_14703-6_3,Non vs Predicted,375.0,0.022983650968259633,0.8467496666802161,0.022983650968259633,0.009875822521773436,,,,,0.9711239439913931,False,False,True
151,PROK1_14703-6_3,Non vs RV,423.0,-0.09445004421079436,0.3622869521441361,-0.09445004421079436,-0.0028399908100738003,,,,,0.8359678782441561,False,False,True
151,PROK1_14703-6_3,Predicted vs RV,234.0,-0.117433695179054,0.3734292151863018,-0.117433695179054,-0.012715813331847237,,,,,0.8390988481240366,False,False,True
151,TPSB2_14696-45_3,Non vs Predicted,375.0,-0.08888908540185053,0.4618826113267667,-0.08888908540185053,-0.04000024482826614,,,,,0.873356234367733,False,False,True
151,TPSB2_14696-45_3,Non vs RV,423.0,0.061083478971095694,0.5617574456689358,0.061083478971095694,0.014624342759048226,,,,,0.9070261157552604,False,False,True
151,TPSB2_14696-45_3,Predicted vs RV,234.0,0.14997256437294623,0.2631791372533821,0.14997256437294623,0.054624587587314366,,,,,0.7758770741746855,False,False,True
151,ZNF276_14692-3_3,Non vs Predicted,375.0,-0.05963347638672231,0.6156234461382019,-0.05963347638672231,-0.005943492398675865,,,,,0.9198136035773727,False,False,True
151,ZNF276_14692-3_3,Non vs RV,423.0,0.11639516478837454,0.26104104772825104,0.11639516478837454,0.05039872219695951,,,,,0.7742160200191657,False,False,True
151,ZNF276_14692-3_3,Predicted vs RV,234.0,0.17602864117509687,0.1817796859850375,0.17602864117509687,0.056342214595635376,,,,,0.7149394835121426,False,False,True
151,RALA_14332-3_3,Non vs Predicted,375.0,-0.2325016304756592,0.05294115783922283,-0.2325016304756592,-0.03571339417126573,,,,,0.5035793310765665,False,False,True
151,RALA_14332-3_3,Non vs RV,423.0,-0.03282195235034511,0.7534612918256673,-0.03282195235034511,0.001974943440945509,,,,,0.9563117303656687,False,False,True
151,RALA_14332-3_3,Predicted vs RV,234.0,0.1996796781253141,0.13365213623358557,0.1996796781253141,0.03768833761221124,,,,,0.6666031121884711,False,False,True
151,DYNLT1_14331-262_3,Non vs Predicted,375.0,0.05147903556462843,0.6677447310564514,0.05147903556462843,0.011255548164159634,,,,,0.9349797941821381,False,False,True
151,DYNLT1_14331-262_3,Non vs RV,423.0,0.10035922660872879,0.3371024430060409,0.10035922660872879,0.01837797356841886,,,,,0.819598748614916,False,False,True
151,DYNLT1_14331-262_3,Predicted vs RV,234.0,0.04888019104410036,0.7132378750089745,0.04888019104410036,0.007122425404259225,,,,,0.9457773907755547,False,False,True
151,DIDO1_14329-4_3,Non vs Predicted,375.0,-0.07347212355634763,0.5367419398082641,-0.07347212355634763,-0.006580877033069754,,,,,0.8987302375440794,False,False,True
151,DIDO1_14329-4_3,Non vs RV,423.0,-0.005451292868697495,0.9580471702529824,-0.005451292868697495,0.004668916061014272,,,,,0.9918372036851117,False,False,True
151,DIDO1_14329-4_3,Predicted vs RV,234.0,0.06802083068765014,0.6060560544477527,0.06802083068765014,0.011249793094084026,,,,,0.9180629582854098,False,False,True
151,UBE2E1_14326-4_3,Non vs Predicted,375.0,0.10109381682311333,0.3718129597999457,0.10109381682311333,0.018963902013759082,,,,,0.8378001762904997,False,False,True
151,UBE2E1_14326-4_3,Non vs RV,423.0,-0.114229501497562,0.24700065992480458,-0.114229501497562,-0.06928834613671775,,,,,0.7646169441234384,False,False,True
151,UBE2E1_14326-4_3,Predicted vs RV,234.0,-0.21532331832067533,0.08664168725977657,-0.21532331832067533,-0.08825224815047683,,,,,0.5864065572109992,False,False,True
151,SMC3_14324-52_3,Non vs Predicted,375.0,-0.09627037649104025,0.4210492240881355,-0.09627037649104025,-0.10017060347524165,,,,,0.861813668753965,False,False,True
151,SMC3_14324-52_3,Non vs RV,423.0,-0.22919357707686355,0.028264043783409878,-0.22919357707686355,-0.20897083977671294,,,,,0.39033824373692017,False,False,True
151,SMC3_14324-52_3,Predicted vs RV,234.0,-0.1329232005858233,0.3165688159139627,-0.1329232005858233,-0.10880023630147129,,,,,0.8064915073944317,False,False,True
151,VPS29_14318-1_3,Non vs Predicted,375.0,-0.13615240096799985,0.2604562512328696,-0.13615240096799985,-0.11618572751479128,,,,,0.7737703541488654,False,False,True
151,VPS29_14318-1_3,Non vs RV,423.0,-0.018468690105659876,0.8608698209855951,-0.018468690105659876,-0.017814093101202744,,,,,0.973471742459419,False,False,True
151,VPS29_14318-1_3,Predicted vs RV,234.0,0.11768371086233997,0.38035227362472596,0.11768371086233997,0.09837163441358854,,,,,0.8422333273275011,False,False,True
151,PPIL2_14314-6_3,Non vs Predicted,375.0,0.0401601602236845,0.7384430136696751,0.0401601602236845,0.007174085506479244,,,,,0.9540553614495256,False,False,True
151,PPIL2_14314-6_3,Non vs RV,423.0,-0.23092561896455613,0.027936617113441434,-0.23092561896455613,-0.02575989668454781,,,,,0.38941307352804677,False,False,True
151,PPIL2_14314-6_3,Predicted vs RV,234.0,-0.2710857791882406,0.042521860288911265,-0.2710857791882406,-0.032933982191027056,,,,,0.46275504110380944,False,False,True
151,HNRNPH1_14309-8_3,Non vs Predicted,375.0,-0.16294119442030366,0.17319770725096745,-0.16294119442030366,-0.026926215802211217,,,,,0.7101328810086911,False,False,True
151,HNRNPH1_14309-8_3,Non vs RV,423.0,-0.08084472440664835,0.43779536860391227,-0.08084472440664835,-0.005212676787529347,,,,,0.8683249698788631,False,False,True
151,HNRNPH1_14309-8_3,Predicted vs RV,234.0,0.08209647001365532,0.5357800510182358,0.08209647001365532,0.02171353901468187,,,,,0.8983629008560732,False,False,True
151,CLECL1_14308-192_3,Non vs Predicted,375.0,0.18761977742124292,0.11500762102955589,0.18761977742124292,0.022461695774437018,,,,,0.6428527711841423,False,False,True
151,CLECL1_14308-192_3,Non vs RV,423.0,0.13587368053476404,0.1901144260437006,0.13587368053476404,0.010980513301180217,,,,,0.721676920399903,False,False,True
151,CLECL1_14308-192_3,Predicted vs RV,234.0,-0.05174609688647888,0.6947656866030948,-0.05174609688647888,-0.011481182473256801,,,,,0.9390380338072822,False,False,True
151,MBD1_14294-61_3,Non vs Predicted,375.0,-0.1563269716455813,0.18378948726119282,-0.1563269716455813,-0.045591407407522766,,,,,0.7158460847371649,False,False,True
151,MBD1_14294-61_3,Non vs RV,423.0,-0.1271291287482685,0.21479166422598409,-0.1271291287482685,-0.04388277888552672,,,,,0.7428786826011321,False,False,True
151,MBD1_14294-61_3,Predicted vs RV,234.0,0.02919784289731278,0.822729712136771,0.02919784289731278,0.0017086285219960473,,,,,0.9679990624645909,False,False,True
151,AGAP2_14291-53_3,Non vs Predicted,375.0,0.060393180589823944,0.6096151963802556,0.060393180589823944,0.00027778217649121473,,,,,0.9180629582854098,False,False,True
151,AGAP2_14291-53_3,Non vs RV,423.0,-0.20480973275500006,0.047310525052095806,-0.20480973275500006,-0.07098202035651191,,,,,0.47911708519608626,False,False,True
151,AGAP2_14291-53_3,Predicted vs RV,234.0,-0.265202913344824,0.04358633116832312,-0.265202913344824,-0.07125980253300312,,,,,0.4660299796252053,False,False,True
151,RAB5C_14287-6_3,Non vs Predicted,375.0,-0.1806237123931057,0.12170185349375763,-0.1806237123931057,-0.044226140943515624,,,,,0.653221770263193,False,False,True
151,RAB5C_14287-6_3,Non vs RV,423.0,-0.22110460739546772,0.029893152930784594,-0.22110460739546772,-0.05868342314717179,,,,,0.39904993966016733,False,False,True
