PROJECTID,cohort_col,TESTNAME,UNITS,n,omnibus_pval,omnibus_qval_fdr_bh,outlier_handling,gba_included,log_transform,pd_only
LCC 108,HEURISTIC,CE(18:2),area ratio,39.0,0.6780593290699511,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(20:4),area,39.0,0.6552925548114052,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(20:4),area ratio,39.0,0.4638680624756199,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CE(20:5),area,39.0,0.3415403380299495,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CE(20:5),area ratio,39.0,0.550011872680684,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(22:6),area,39.0,0.6499406810665775,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CE(22:6),area ratio,39.0,0.6323218335035931,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:0/24:0),area,39.0,0.2367480181572882,0.945359327676344,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:0/24:0),area ratio,39.0,0.1603047808451649,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:0/24:1),area,39.0,0.4113731413673495,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:0/24:1),area ratio,39.0,0.7165386118573079,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/16:0),area,39.0,0.3832058289481427,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/16:0),area ratio,39.0,0.2613004314283302,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/18:0),area,39.0,0.6696658580862206,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/18:0),area ratio,39.0,0.6835064561016064,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/24:0),area,39.0,0.6440529909381207,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/24:0),area ratio,39.0,0.9127108623159638,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/24:1),area,39.0,0.4475917117425183,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,Cer(d18:1/24:1),area ratio,39.0,0.700915711322389,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cholesterol,area,39.0,0.9909587759025188,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cholesterol,area ratio,39.0,0.9226548621707922,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cholesterol Sulfate,area,39.0,0.8011292279437092,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cholesterol Sulfate,area ratio,39.0,0.997106264788758,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Choline,area,39.0,0.2891478379900429,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,Choline,area ratio,39.0,0.2523817050531955,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,Citrulline,area,39.0,0.5504056771959511,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Citrulline,area ratio,39.0,0.8430207534330765,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CL (72:7/18:2),area,39.0,0.3398161000212409,0.9930354163961256,none,False,False,True
